t,r,r_hold,vel_r_measured,v_r,v_theta,vel_theta,v_z,vel_z
29.952850058998592,7.585143099088343,7.64190878618101,0.5354782103384169,-0.6999999878850717,-1.5,-1.6879728174275026,0.0,0.0001635503867873922
30.014561254,7.556963429803757,7.598617575799018,0.5320628654524546,-0.6999999879335715,-1.5,-1.6876565728323223,0.0,9.215408499585465e-05
30.04606483200041,7.528762599907082,7.5765229449836635,0.5298853891777611,-0.6999999879699464,-1.5,-1.6873433788599579,0.0,-6.195457535795867e-05
30.10803717499948,7.501677210591152,7.533189176882095,0.5295936297180357,-0.6999999879972276,-1.5,-1.6868977474624447,0.0,-0.00015238887863233685
30.139149393999105,7.473925466711127,7.511837386819424,0.5268537521479131,-0.6999999880176885,-1.5,-1.6868184890132771,0.0,-0.00024558044970035553
30.200931088998914,7.446135755061481,7.468334556104089,0.5242844050711598,-0.6999999880330341,-1.5,-1.686456071380202,0.0,-0.00011223188630538061
30.26273420600046,7.418262946794959,7.4249081623831925,0.5234840688851354,-0.6999999880445433,-1.5,-1.6861015261813932,0.0,-0.00021920280414633453
30.293514863999008,7.390454175302245,7.40335726896743,0.523865207778063,-0.6999999880531753,-1.5,-1.6858373348034903,0.0,-0.00037466961657628417
30.35799207599848,7.362658333387413,7.358253934356233,0.5259159967987064,-0.6999999880596492,-1.5,-1.685636927753559,0.0,-0.0004727295890916139
30.38925788999768,7.334693531621171,7.336458876477427,0.5272805534172103,-0.6999999880645047,-1.5,-1.6855136641541875,0.0,-0.00042126906919293106
30.45150195899987,7.306532662511889,7.292789319650385,0.528668748534823,-0.6999999880681462,-1.5,-1.6853486248135898,0.0,-0.0005706309457309544
30.48284170199986,7.278325102967558,7.270733408008431,0.5316712160199288,-0.6999999880708774,-1.5,-1.6853390040522496,0.0,-0.0007370897219516337
30.547474185998,7.249981046454505,7.225561814158344,0.5355784851604376,-0.6999999880729257,-1.5,-1.6854310872493234,0.0,-0.0008091737981885672
